Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Deni Avdija (38022175),Deni Avdija,38022175,SF/PF/F/UTIL,6600,DET@POR 03/09/2025 09:00PM ET,POR,30.71
C,Deandre Ayton (38022098),Deandre Ayton,38022098,C/UTIL,6000,DET@POR 03/09/2025 09:00PM ET,POR,32.95
PF,Tobias Harris (38022020),Tobias Harris,38022020,PF/F/UTIL,5800,DET@POR 03/09/2025 09:00PM ET,DET,28.24
SF/PF,Ausar Thompson (38022211),Ausar Thompson,38022211,SF/PF/F/UTIL,5800,DET@POR 03/09/2025 09:00PM ET,DET,23.40
SG/SF,Malik Beasley (38022060),Malik Beasley,38022060,SG/SF/F/G/UTIL,5600,DET@POR 03/09/2025 09:00PM ET,DET,26.16
SG/SF,Toumani Camara (38022134),Toumani Camara,38022134,SG/SF/F/G/UTIL,5600,DET@POR 03/09/2025 09:00PM ET,POR,25.61
PG,Scoot Henderson (38022194),Scoot Henderson,38022194,PG/G/UTIL,5500,DET@POR 03/09/2025 09:00PM ET,POR,26.50
PF,Jerami Grant (38022037),Jerami Grant,38022037,PF/F/UTIL,5400,DET@POR 03/09/2025 09:00PM ET,POR,26.02
C,Donovan Clingan (38022206),Donovan Clingan,38022206,C/UTIL,5300,DET@POR 03/09/2025 09:00PM ET,POR,19.54
C,Ben Simmons (38022070),Ben Simmons,38022070,C/UTIL,5200,SAC@LAC 03/09/2025 09:30PM ET,LAC,24.40
PF,Keegan Murray (38022154),Keegan Murray,38022154,PF/F/UTIL,5200,SAC@LAC 03/09/2025 09:30PM ET,SAC,27.27
