PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
2439209,"Lamar Stevens",3100,PF,MEM,NOP,121980,950179,,4,1.99,1.05,0.18,0.09,0.17,0.29,0.34,2.17,3.04,3.22,0.63,1.23,1.57,0.67,0.4,0.48,0.39,1.97,0.76,5.24,5.24,4.79,1.55,0.45%,142,143,SUN,69521,95,2439209,1.91,8.36,0,0,0,2.13,3.46,4.79,6.12,8.52,9.31,13.84,
3028281,"Jay Huff",3000,C,MEM,NOP,121980,942843,,2,0.85,0.27,0.13,0.17,0.06,0.02,0.17,0.98,1.12,1.25,0.19,0.4,0.22,0.11,0.41,0.14,0.11,0.63,0.28,1.88,1.88,1.82,0.61,0.29%,142,143,SUN,70219,97,3028281,0,3.71,0,0,0,0,0,1.82,2.91,5.82,6.92,12.02,
3583997,"Scotty Pippen Jr.",4200,PG,MEM,NOP,121980,1176798,,19,8.17,3.62,4.06,0.89,1.25,1.36,0.32,12.23,11.79,15.85,1.68,7.68,4.22,2.02,2.46,2.07,1.46,6.68,2.91,22.39,22.39,21.97,5.23,4.49%,142,143,SUN,90685,98,3583997,15.47,29.17,2.4,2.4,13.58,15.33,19.16,21.97,24.78,29.38,31.17,39.6,
3587970,"Vince Williams",3900,SG/SF,MEM,NOP,121980,1134869,,26,12.68,5.19,2.66,1.9,1.78,1.21,0.35,15.34,17.87,20.53,1.56,7.85,4.57,2.06,5.41,3.69,2.86,9.98,3.96,25.8,25.8,26.38,6.76,22.93%,142,143,SUN,89766,99,3587970,19.03,34.81,29.02,29.02,41.87,18.95,23.05,26.38,29.71,34.83,37.14,45.59,
4878429,"Gregory Jackson",3800,SF/PF,MEM,NOP,121980,1405584,,21,11.66,4.1,1.97,1.78,1.45,0.26,0.43,13.63,15.76,17.73,0.69,6.07,4.9,2.04,4.96,3,2.22,9.86,3.82,20.16,20.16,21.3,5.61,9.63%,142,143,SUN,245013,100,4878429,15.09,28.64,10.37,10.37,18.01,14.76,18.4,21.3,24.2,28.56,30.5,38.97,
6412994,"Cam Spencer",3000,SG,MEM,NOP,121980,1177001,,2,0.83,0.22,0.13,0.14,0.08,0.07,0.02,0.96,1.05,1.18,0.09,0.35,0.35,0.15,0.41,0.15,0.12,0.76,0.29,1.48,1.48,1.51,0.5,0.14%,142,143,SUN,90391,101,6412994,0,3.08,0,0,0,0,0,1.51,2.42,4.23,4.83,8.76,
6412995,"Jaylen Wells",4400,SG/SF,MEM,NOP,121980,1423140,,29,12.34,3.43,1.68,2.18,0.68,0.89,0.1,14.02,15.77,17.45,0.99,5.11,4.45,2,5.8,2.18,1.8,10.25,4.18,21.27,21.27,21.88,4.97,3.25%,142,143,SUN,252511,102,6412995,15.13,29.75,3.58,3.58,11.92,15.09,19.11,21.88,24.9,29.93,31.94,41.25,
6412996,"Zach Edey",4700,C,MEM,NOP,121980,1231414,,24,11.05,9.71,0.84,0.4,1.18,0.8,1.51,11.89,20.76,21.6,2.31,10.55,6.93,4.04,1.1,2.54,1.78,8.03,4.44,29.71,29.71,29.17,6.21,18.02%,142,143,SUN,149337,103,6412996,21.94,37.27,21.35,21.35,35.6,21.69,25.85,29.17,32.41,37.4,39.14,48.62,
1498,"Brook Lopez",5800,C,MIL,CLE,121982,330047,,32,12.04,5.32,1.55,1.95,0.86,0.55,1.48,13.59,17.36,18.91,2.03,6.87,4.8,2.33,5.31,1.83,1.52,10.11,4.28,25.98,25.98,25.65,4.42,0.72%,134,131,SUN,12193,106,1498,18.64,33.75,0.94,0.94,5.84,18.61,22.63,25.65,28.92,33.95,36.21,46.27,
13900,"Damian Lillard",9200,PG,MIL,CLE,121982,463121,,35.5,24.17,4.01,6.59,3.21,2.63,1.37,0.19,30.76,28.18,34.77,1.56,10.6,8.26,3.68,8.62,7.81,7.19,16.88,6.89,40.92,40.92,42.67,4.64,5.4%,134,131,SUN,12374,107,13900,32.71,53,4.04,4.04,9.44,32.57,38.13,42.67,46.71,53.06,55.8,67.41,
